Z,A,EL,E_2plus_keV,BE2_up_e2b2,BE2_up_Wu,tau_ps,beta_2,BE2_calc,ratio
48,106,Cd,632.64,0.419,27.45,9.55,0.173,0.08179685655909401,5.122446236027348
48,108,Cd,632.988,0.426,27.2,7.77,0.1723,0.08309732106526495,5.126519056678349
48,110,Cd,657.7645,0.501,31.3,9.04,0.1847,0.09799133989313093,5.112696698977574
48,112,Cd,617.52,0.536,32.7,13.94,0.1888,0.10486363173638646,5.111400312240132
48,114,Cd,558.456,0.58,34.5,19.59,0.194,0.11327793979654295,5.1201496164366205
48,116,Cd,513.49,0.578,33.6,25.4,0.1915,0.11291103143503528,5.119074661297016
48,118,Cd,487.77,0.473,26.9,25.9,0.171,0.09248005259311616,5.1146164684946145
48,120,Cd,505.94,0.44,24.5,15.4,0.163,0.08613788236255517,5.108089355482827
48,122,Cd,569.45,0.35,19.1,13.4,0.144,0.06864879521739883,5.098414311447282
48,124,Cd,612.8,0.263,14.0,13.1,0.124,0.051421340518532546,5.114608008035367
48,128,Cd,645.8,0.176,12.1,0.73,0.1104,0.04636444955655378,3.7960118513931924
48,130,Cd,1325.0,0.176,12.1,0.73,0.1104,0.04733288234361141,3.7183452873698695
50,102,Sn,1472.0,0.176,12.1,0.73,0.1104,0.034253533412224195,5.13815605187143
50,104,Sn,1260.1,0.209,14.0,0.76,0.1187,0.040671694467218494,5.138708940893884
50,108,Sn,1206.07,0.231,14.7,0.676,0.1217,0.044909213958065984,5.143710602810739
50,110,Sn,1211.88,0.232,14.49,0.56,0.1207,0.04536404201442387,5.114182724860225
50,112,Sn,1256.85,0.215,13.1,0.511,0.1147,0.042009589472375,5.117879100946259
50,114,Sn,1299.907,0.2062,12.27,0.546,0.111,0.04028754554503136,5.11820705904062
50,116,Sn,1293.56,0.207,12.04,0.701,0.11,0.04045978626422097,5.1161911397206845
50,118,Sn,1229.666,0.1975,11.24,0.937,0.1063,0.038642222719205414,5.110989640402888
50,120,Sn,1171.265,0.1887,10.5,1.12,0.1027,0.03691623529823793,5.111572143679747
50,122,Sn,1140.51,0.1622,8.83,1.354,0.0942,0.03173658962144668,5.110820095502318
50,124,Sn,1131.739,0.1269,6.76,1.66,0.0825,0.024829161564662857,5.110925702002178
50,126,Sn,1141.15,0.0771,4.03,2.42,0.0636,0.015121175406972918,5.098809975079479
50,128,Sn,1168.82,0.023,1.18,6.5,0.0344,0.004521491774936649,5.086816728826684
50,130,Sn,1221.26,0.118,5.9,0.00321,0.0771,0.02307966990308325,5.11272477013357
50,132,Sn,4041.2,0.029,1.42,69.8,0.0378,0.005669003141261306,5.11553782514711
52,106,Te,664.8,0.387,25.3,11.0,0.153,0.07539018109089539,5.1332944741624535
52,108,Te,625.2,0.46,28.7,5.7,0.163,0.08767989391812882,5.246356712401197
52,110,Te,657.7,0.46,28.7,5.7,0.163,0.08985148418315839,5.119559283654233
52,112,Te,689.01,0.556,33.9,4.09,0.1774,0.10871183840561163,5.114438391939656
52,114,Te,708.74,0.57,32.9,8.8,0.175,0.10802447012481921,5.276582234945296
52,116,Te,678.92,0.57,32.9,8.8,0.175,0.11055871828013869,5.155631404442553
52,118,Te,605.706,0.685,38.97,10.71,0.1903,0.13397574905404225,5.11286561065383
52,120,Te,560.438,0.65,36.2,10.93,0.1834,0.12727311598059174,5.107127259295832
52,122,Te,564.094,0.56,30.5,9.12,0.1684,0.10962242168223374,5.108443978945212
52,124,Te,602.7271,0.4738,25.26,6.53,0.1532,0.09277879010700943,5.1067706256303556
52,126,Te,666.352,0.38,19.83,4.724,0.1358,0.07440518816880223,5.1071707410765255
52,128,Te,743.219,0.296,15.12,3.3,0.1185,0.05793640308223909,5.10905034231822
