Z,N,A,EL,mass_excess_keV_value,mass_excess_unc_keV_value,mass_excess_keV_flag,BE_per_A_keV_value,BE_per_A_unc_keV_value,BE_per_A_keV_flag,beta_decay_energy_keV_value,beta_decay_energy_unc_keV_value,S_2n_value,S_2n_unc_value,S_2n_flag,S_2p_value,S_2p_unc_value,S_2p_flag,Q_alpha_value,Q_alpha_unc_value,Q_alpha_flag,S_n_value,S_n_unc_value,S_n_flag,S_p_value,S_p_unc_value,S_p_flag,Total_BE_keV,data_quality,fully_experimental
44,61,105,Ru,-85934.543,2.499,experimental,8561.9016,0.0238,experimental,1916.7271,2.8508,14810.0114,2.4926,experimental,19558.1536,9.5553,experimental,-4839.5072,2.4972,experimental,5910.0975,0.1118,experimental,10724.545,24.9371,experimental,898999.668,high,True
45,60,105,Rh,-87851.27,2.502,experimental,8572.7053,0.0238,experimental,566.6347,2.3459,15962.2007,3.3874,experimental,17825.2919,9.906,experimental,-3931.5933,24.1321,experimental,8963.2442,3.3884,experimental,7044.4777,2.851,experimental,900134.0565,high,True
46,59,105,Pd,-88417.905,1.138,experimental,8570.6509,0.0108,experimental,-1347.0564,4.6695,17103.5607,1.433,experimental,15728.6793,1.2148,experimental,-2884.708,1.2057,experimental,7094.1,0.7,experimental,8747.5319,2.5658,experimental,899918.3445,high,True
47,58,105,Ag,-87070.848,4.544,experimental,8550.3708,0.0433,experimental,-2736.9989,4.3618,18410.7821,6.119,experimental,13617.0851,5.0929,experimental,-2083.3363,7.3998,experimental,10025.6965,6.1883,experimental,4964.6966,4.7217,experimental,897788.934,high,True
48,57,105,Cd,-84333.849,1.392,experimental,8516.8532,0.0133,experimental,-4693.2673,10.3405,19824.8593,2.2837,experimental,11454.8114,1.6456,experimental,-1326.6206,4.7948,experimental,8436.7762,2.1762,experimental,6506.3505,4.4398,experimental,894269.586,high,True
49,56,105,In,-79640.582,10.246,experimental,8464.7045,0.0976,experimental,-6302.5807,10.9891,21150.8212,13.6249,experimental,9415.8219,11.0357,experimental,-731.1138,11.3313,experimental,11529.2255,11.7619,experimental,2961.1619,10.3821,experimental,888793.9725,high,True
50,55,105,Sn,-73338.001,3.971,experimental,8397.229,0.0378,experimental,-9322.5103,22.1849,22388.0,100.0,estimated,7264.3172,4.3644,experimental,73.5483,4.2416,experimental,9782.2623,6.9839,experimental,4444.2978,7.0088,experimental,881709.0449999999,mixed,True
51,54,105,Sb,-64015.491,21.827,experimental,8300.9923,0.2079,experimental,-11203.9825,300.8126,23488.0,301.0,estimated,3961.0362,23.6019,experimental,2104.4944,24.7468,experimental,12792.0,104.0,estimated,-322.595,22.4711,experimental,871604.1915,mixed,True
52,53,105,Te,-52811.509,300.02,experimental,8186.8368,2.8573,experimental,,,,,not_calculable,297.0,316.0,estimated,5069.1999,3.0,experimental,11255.9961,436.9069,experimental,806.0,317.0,estimated,859617.8640000001,mixed,True
40,66,106,Zr,-58749.0,200.0,estimated,8330.0,2.0,estimated,7453.0,200.0,9174.0,200.0,estimated,29568.0,361.0,estimated,-9015.0,211.0,estimated,5362.0,201.0,estimated,15468.0,447.0,estimated,882980.0,low,False
41,65,106,Nb,-66202.678,1.416,experimental,8393.2657,0.0134,experimental,9925.3249,9.2388,10534.3178,2.2577,experimental,26701.0,200.0,estimated,-7454.9528,4.3198,experimental,4358.4497,4.2647,experimental,12033.3756,12.1926,experimental,889686.1642,high,True
42,64,106,Mo,-76128.003,9.13,experimental,8479.5202,0.0861,experimental,3648.2494,15.2778,11926.8915,12.7563,experimental,24988.2854,13.0422,experimental,-6971.4921,12.6496,experimental,6868.5336,12.8574,experimental,13501.4276,9.9788,experimental,898829.1412000001,high,True
43,63,106,Tc,-79776.253,12.25,experimental,8506.557,0.1156,experimental,6547.0,11.0,13419.9197,27.7095,experimental,22543.1981,12.3791,experimental,-5902.9035,12.5045,experimental,5561.2672,37.3008,experimental,9734.436,15.2306,experimental,901695.0420000001,high,True
44,62,106,Ru,-86323.253,5.391,experimental,8560.9406,0.0509,experimental,39.4038,0.2121,14370.1252,5.4776,experimental,20557.4469,10.4077,experimental,-5187.3028,9.9011,experimental,8460.0277,5.4773,experimental,11325.9202,35.642,experimental,907459.7036,high,True
45,61,106,Rh,-86362.656,5.39,experimental,8553.9317,0.0508,experimental,3544.8865,5.3348,15545.9485,5.8527,experimental,18441.6295,25.4323,experimental,-4214.6509,10.4317,experimental,6582.7043,5.6941,experimental,7717.0845,5.4767,experimental,906716.7601999999,high,True
46,60,106,Pd,-89907.543,1.106,experimental,8579.9934,0.0104,experimental,-2965.1434,2.8172,16655.0561,0.7548,experimental,16389.7215,2.586,experimental,-3226.024,1.1759,experimental,9560.9561,0.2823,experimental,9345.2439,2.3555,experimental,909479.3004,high,True
47,59,106,Ag,-86942.399,3.016,experimental,8544.6397,0.0285,experimental,189.7534,2.819,17968.5656,4.9484,experimental,14560.9976,3.7925,experimental,-2583.9992,7.0827,experimental,7942.8691,5.4354,experimental,5813.4657,2.8278,experimental,905731.8082,high,True
48,58,106,Cd,-87132.153,1.104,experimental,8539.0492,0.0104,experimental,-6524.0031,12.1765,19306.3977,2.0041,experimental,12314.9721,0.7617,experimental,-1654.1057,1.175,experimental,10869.6215,1.773,experimental,7350.2755,4.6612,experimental,905139.2152,high,True
49,57,106,In,-80608.15,12.226,experimental,8470.1213,0.1153,experimental,-3254.4521,13.2439,20568.1112,13.5218,experimental,10069.6219,12.8393,experimental,-786.364,14.7054,experimental,9038.8857,15.9522,experimental,3563.2713,12.3049,experimental,897832.8578000001,high,True
50,56,106,Sn,-77353.698,5.091,experimental,8432.0383,0.048,experimental,-10880.3964,9.0249,21869.2765,7.6761,experimental,7963.2484,5.3588,experimental,-118.9119,5.3555,experimental,12087.0142,6.4566,experimental,5002.0865,11.4415,experimental,893796.0598,high,True
51,55,106,Sb,-66473.301,7.452,experimental,8322.0124,0.0703,experimental,-8253.5423,100.8163,23321.0,102.0,estimated,4868.5687,9.4279,experimental,1796.6786,8.7432,experimental,10529.1282,23.0637,experimental,424.2708,8.444,experimental,882133.3143999999,mixed,True
52,54,106,Te,-58219.759,100.541,experimental,8236.7682,0.9485,experimental,-14920.0,412.0,24735.5644,333.1429,experimental,1170.6438,100.7046,experimental,4290.2208,9.3537,experimental,13479.5684,316.4178,experimental,1493.2389,102.8825,experimental,873097.4292,high,True
53,53,106,I,-43300.0,400.0,estimated,8089.0,4.0,estimated,,,,,not_calculable,-1417.0,412.0,estimated,5375.0,565.0,estimated,,,not_calculable,-2223.0,500.0,estimated,857434.0,low,False
40,67,107,Zr,-54020.0,300.0,estimated,8284.0,3.0,estimated,9704.0,300.0,8704.0,300.0,estimated,30408.0,583.0,estimated,-9165.0,361.0,estimated,3342.0,361.0,estimated,15519.0,583.0,estimated,886388.0,low,False
41,66,107,Nb,-63723.805,8.023,experimental,8367.0898,0.075,experimental,8821.1703,12.2239,9950.8942,8.9564,experimental,27732.0,400.0,estimated,-7691.6869,13.7816,experimental,5592.4444,8.144,experimental,12263.0,200.0,estimated,895278.6085999999,high,True
42,65,107,Mo,-72544.975,9.223,experimental,8442.219,0.0862,experimental,6204.9921,12.6599,11356.8234,12.9237,experimental,25664.6433,15.221,experimental,-7160.8972,13.0416,experimental,4488.2898,12.9759,experimental,13631.2677,9.3308,experimental,903317.433,high,True
43,64,107,Tc,-78749.967,8.673,experimental,8492.8979,0.0811,experimental,5112.5985,11.7243,12606.2997,36.2416,experimental,23412.3625,9.5514,experimental,-6146.2153,9.5125,experimental,7045.0325,14.828,experimental,9910.9349,12.5922,experimental,908740.0753,high,True
44,63,107,Ru,-83862.565,8.673,experimental,8533.3676,0.0811,experimental,3001.1457,14.8473,14070.6587,8.2904,experimental,21109.72,12.5302,experimental,-5333.1499,12.6599,experimental,5610.631,9.9433,experimental,11375.284,14.828,experimental,913070.3332,high,True
45,62,107,Rh,-86863.711,12.051,experimental,8554.104,0.1126,experimental,1508.9427,12.1108,15155.0773,12.308,experimental,19155.35,37.2652,experimental,-4684.7068,15.5393,experimental,8572.3729,13.2013,experimental,7829.4297,13.2018,experimental,915289.1279999999,high,True
46,61,107,Pd,-88372.654,1.201,experimental,8560.8946,0.0112,experimental,34.0458,2.3174,16097.3852,0.5717,experimental,17016.0531,2.6307,experimental,-3530.4021,1.2744,experimental,6536.429,0.4972,experimental,9298.9686,5.3572,experimental,916015.7222,high,True
47,60,107,Ag,-88406.7,2.382,experimental,8553.9012,0.0223,experimental,-1416.3741,2.5654,17478.4873,5.0277,experimental,15133.3717,3.2804,experimental,-2799.91,3.3105,experimental,9535.6183,3.5558,experimental,5788.1278,2.3272,experimental,915267.4284,high,True
48,59,107,Cd,-86990.325,1.66,experimental,8533.3524,0.0155,experimental,-3423.6586,9.58,18799.1122,2.1631,experimental,13150.3628,1.9524,experimental,-1958.2611,1.8777,experimental,7929.4907,1.9326,experimental,7336.8971,3.3919,experimental,913068.7067999999,high,True
49,58,107,In,-83566.667,9.654,experimental,8494.0439,0.0902,experimental,-5054.4281,11.0175,20068.7209,14.0778,experimental,11073.7607,10.6635,experimental,-1188.8804,10.4877,experimental,11029.8353,15.5723,experimental,3723.4852,9.7072,experimental,908862.6973000001,high,True
50,57,107,Sn,-78512.239,5.31,experimental,8439.4946,0.0496,experimental,-7858.9903,6.7377,21316.8735,6.6303,experimental,8756.3315,5.4889,experimental,-285.5283,5.6097,experimental,9229.8593,7.3559,experimental,5193.0601,13.3295,experimental,903025.9222,high,True
51,56,107,Sb,-70653.248,4.148,experimental,8358.7344,0.0388,experimental,-9996.0,101.0,22780.3935,22.2172,experimental,5590.6085,11.0542,experimental,1554.2327,9.8921,experimental,12251.2653,8.5286,experimental,588.5219,6.5668,experimental,894384.5807999999,high,True
52,55,107,Te,-60657.0,101.0,estimated,8258.0,1.0,estimated,-11227.0,316.0,23988.0,316.0,estimated,1897.0,101.0,estimated,4010.3533,4.6097,experimental,10509.0,142.0,estimated,1473.0,101.0,estimated,883606.0,low,False
53,54,107,I,-49430.0,300.0,estimated,8146.0,3.0,estimated,,,,,not_calculable,-8.0,301.0,estimated,4816.0,424.0,estimated,14201.0,500.0,estimated,-1501.0,316.0,estimated,871622.0,low,False
40,68,108,Zr,-50950.0,400.0,estimated,8253.0,4.0,estimated,8595.0,400.0,8343.0,447.0,estimated,31227.0,721.0,estimated,-9615.0,500.0,estimated,5001.0,500.0,estimated,16269.0,640.0,estimated,891324.0,low,False
41,67,108,Nb,-59545.198,8.239,experimental,8325.6604,0.0763,experimental,11204.0998,12.3668,9485.1555,8.3597,experimental,28333.0,500.0,estimated,-7890.0,200.0,estimated,3892.7111,11.4997,experimental,12814.0,300.0,estimated,899171.3232000001,high,True
42,66,108,Mo,-70749.297,9.223,experimental,8422.1581,0.0854,experimental,5173.533,12.7262,10763.9305,12.9759,experimental,26578.0,200.0,estimated,-7456.5535,13.1076,experimental,6275.6407,13.0416,experimental,14314.464,12.2239,experimental,909593.0748000001,high,True
43,65,108,Tc,-75922.831,8.769,experimental,8462.8172,0.0812,experimental,7738.5736,11.7903,12289.2141,14.8828,experimental,24298.0944,8.8812,experimental,-6536.7498,8.9487,experimental,5244.1816,11.7903,experimental,10666.8267,12.7262,experimental,913984.2575999999,high,True
44,64,108,Ru,-83661.404,8.68,experimental,8527.2267,0.0804,experimental,1369.7517,16.4699,13480.7877,9.9471,experimental,22111.3431,12.5973,experimental,-5742.5722,12.4256,experimental,7870.1566,11.7243,experimental,12200.4082,11.7243,experimental,920940.4835999999,high,True
45,63,108,Rh,-85031.156,13.997,experimental,8532.6657,0.1296,experimental,4493.0596,14.0405,14811.1355,14.9987,experimental,19832.8453,18.6004,experimental,-4957.1026,28.5525,experimental,6238.7626,18.4699,experimental,8457.5613,16.466,experimental,921527.8955999999,high,True
46,62,108,Pd,-89524.215,1.108,experimental,8567.0241,0.0103,experimental,-1917.4238,2.6323,15759.3086,1.5651,experimental,17778.9049,5.5034,experimental,-3853.3677,2.733,experimental,9222.8795,1.6342,experimental,9949.4752,12.0,experimental,925238.6028000001,high,True
47,61,108,Ag,-87606.792,2.388,experimental,8542.0262,0.0221,experimental,1645.6311,2.6386,16807.0282,3.5598,experimental,15822.0773,5.8012,experimental,-3072.3634,3.3159,experimental,7271.41,0.17,experimental,6523.1087,2.3236,experimental,922538.8296,high,True
48,60,108,Cd,-89252.423,1.123,experimental,8550.0196,0.0104,experimental,-5132.5944,8.5845,18262.9059,1.5743,experimental,13922.8219,1.5757,experimental,-2282.2156,1.7455,experimental,10333.4152,2.0042,experimental,8134.6941,2.6331,experimental,923402.1168,high,True
49,59,108,In,-84119.828,8.641,experimental,8495.2516,0.08,experimental,-2049.8794,9.8365,19654.3147,14.9718,experimental,11755.371,9.1523,experimental,-1428.2741,9.6154,experimental,8624.4794,12.9562,experimental,4418.4738,8.7992,experimental,917487.1728,high,True
50,58,108,Sn,-82069.949,5.382,experimental,8469.0273,0.0498,experimental,-9624.6079,7.6925,20858.8874,7.4086,experimental,9515.7381,5.4944,experimental,-526.4734,5.6364,experimental,11629.0281,7.5605,experimental,5792.253,11.0528,experimental,914654.9484,high,True
51,57,108,Sb,-72445.341,5.496,experimental,8372.6666,0.0509,experimental,-6663.6646,7.7125,22114.6758,9.2594,experimental,6415.1333,13.4048,experimental,1312.4179,7.9723,experimental,9863.4105,6.8854,experimental,1222.0732,7.6417,experimental,904247.9928,high,True
52,56,108,Te,-65781.676,5.411,experimental,8303.7221,0.0501,experimental,-13011.0,101.0,23704.5535,100.6861,experimental,3005.9209,7.4294,experimental,3420.465,7.6044,experimental,13196.0,101.0,estimated,2417.3989,6.8178,experimental,896801.9868000001,mixed,True
53,55,108,I,-52771.0,101.0,estimated,8176.0,1.0,estimated,-10139.0,393.0,25614.0,412.0,estimated,876.0,102.0,estimated,4098.6662,4.6084,experimental,11413.0,317.0,estimated,-596.9999,13.0,experimental,883008.0,low,False
54,54,108,Xe,-42632.357,379.497,experimental,8074.8886,3.5139,experimental,,,,,not_calculable,-1009.4603,392.5894,experimental,4569.5582,207.7072,experimental,,,not_calculable,492.0,484.0,estimated,872087.9688,mixed,True
40,69,109,Zr,-45730.0,500.0,estimated,8204.0,5.0,estimated,10960.0,660.0,7852.0,583.0,estimated,32057.0,860.0,estimated,-9964.0,707.0,estimated,2851.0,640.0,estimated,16239.0,781.0,estimated,894236.0,low,False
41,68,109,Nb,-56689.8,430.816,experimental,8297.1307,3.9524,experimental,9969.4851,430.961,9108.6311,430.8907,experimental,29297.0,660.0,estimated,-8545.0,588.0,estimated,5215.92,430.8948,experimental,13029.0,588.0,estimated,904387.2463,high,True
42,67,109,Mo,-66659.285,11.179,experimental,8381.4163,0.1026,experimental,7623.5438,14.7805,10256.9459,14.4909,experimental,27217.0,300.0,estimated,-7625.9268,16.4798,experimental,3981.3053,14.4909,experimental,14403.0581,13.8868,experimental,913574.3767000001,high,True
43,66,109,Tc,-74282.828,9.669,experimental,8444.1796,0.0887,experimental,6455.6267,12.6574,11675.4977,12.4699,experimental,25136.966,12.5555,experimental,-6792.1978,10.4646,experimental,6431.316,12.532,experimental,10822.5021,13.3626,experimental,920415.5763999999,high,True
44,65,109,Ru,-80738.455,8.954,experimental,8496.228,0.0821,experimental,4260.7958,9.8229,13018.5259,11.9236,experimental,22771.4225,12.8542,experimental,-5832.5835,12.7263,experimental,5148.3692,11.9235,experimental,12104.5958,11.9885,experimental,926088.852,high,True
45,64,109,Rh,-84999.251,4.04,experimental,8528.1404,0.0371,experimental,2607.2327,4.1874,14278.1759,12.7091,experimental,20827.2262,9.5673,experimental,-5137.8635,35.4935,experimental,8039.4133,14.5507,experimental,8626.818,9.574,experimental,929567.3036,high,True
46,63,109,Pd,-87606.484,1.114,experimental,8544.8825,0.0102,experimental,1112.9469,1.4024,15376.466,1.6383,experimental,18321.8604,8.7439,experimental,-4096.8567,2.7363,experimental,6153.5865,0.1477,experimental,9864.2991,14.041,experimental,931392.1925,high,True
47,62,109,Ag,-88719.431,1.287,experimental,8547.9155,0.0118,experimental,-215.1002,1.7795,16455.3672,2.7071,experimental,16433.6616,12.0816,experimental,-3293.0765,2.8131,experimental,9183.9572,2.7124,experimental,6484.1864,1.4022,experimental,931722.7895,high,True
48,61,109,Cd,-88504.33,1.536,experimental,8538.7646,0.0141,experimental,-2014.8047,4.0662,17656.6411,2.2619,experimental,14709.6188,1.9502,experimental,-2511.3416,1.9121,experimental,7323.2259,1.8337,experimental,8186.51,2.8393,experimental,930725.3414,high,True
49,60,109,In,-86489.526,3.969,experimental,8513.1027,0.0364,experimental,-3859.3453,8.8866,19065.495,10.4378,experimental,12660.7683,4.629,experimental,-1843.5933,6.0331,experimental,10441.0156,9.4231,experimental,4526.0742,3.8959,experimental,927928.1943,high,True
50,59,109,Sn,-82630.18,7.949,experimental,8470.5183,0.0729,experimental,-6379.194,8.8074,20260.5778,9.5592,experimental,10217.7971,8.1205,experimental,-721.2469,8.07,experimental,8631.5497,9.5998,experimental,5799.3233,11.7408,experimental,923286.4946999999,high,True
51,58,109,Sb,-76250.986,5.265,experimental,8404.8161,0.0483,experimental,-8535.5871,6.8502,21740.3741,6.7026,experimental,7262.2617,10.9961,experimental,964.6798,11.52,experimental,11876.9636,7.6108,experimental,1470.0087,7.5293,experimental,916124.9549,high,True
52,57,109,Te,-67715.399,4.382,experimental,8319.3305,0.0402,experimental,-10042.8941,8.0301,23201.0,101.0,estimated,3781.1028,6.8845,experimental,3197.6861,5.7,experimental,10005.0412,6.963,experimental,2559.0296,7.0291,experimental,906807.0245,mixed,True
53,56,109,I,-57672.505,6.729,experimental,8220.0164,0.0617,experimental,-11502.9589,300.1831,24385.0,300.0,estimated,1597.199,7.9046,experimental,3918.0699,20.7635,experimental,12973.0,102.0,estimated,-820.1999,4.0,experimental,895981.7876,mixed,True
54,55,109,Xe,-46169.546,300.108,experimental,8107.3071,2.7533,experimental,,,,,not_calculable,90.0,316.0,estimated,4217.0463,7.2672,experimental,11608.5079,483.8209,experimental,687.0,317.0,estimated,883696.4739,mixed,True
40,70,110,Zr,-42220.0,500.0,estimated,8171.0,5.0,estimated,10090.0,976.0,7413.0,640.0,estimated,,,not_calculable,-10344.0,781.0,estimated,4561.0,707.0,estimated,17029.0,860.0,estimated,898810.0,low,False
41,69,110,Nb,-52309.914,838.345,experimental,8255.2607,7.6213,experimental,12225.9002,838.6945,8907.3528,838.3852,experimental,30108.0,1031.0,estimated,-8944.0,976.0,estimated,3691.4328,942.5626,experimental,13869.0,976.0,estimated,908078.677,high,True
42,68,110,Mo,-64535.814,24.219,experimental,8359.293,0.2202,experimental,6498.7491,26.0147,9929.1532,25.9151,experimental,28164.0,400.0,estimated,-8211.0,202.0,estimated,5947.8479,26.6739,experimental,15134.986,431.4963,experimental,919522.23,high,True
43,67,110,Tc,-71034.564,9.497,experimental,8411.2603,0.0863,experimental,9038.0654,12.5086,11254.3692,12.3942,experimental,26067.308,12.5727,experimental,-7256.8012,9.6006,experimental,4823.0531,13.0423,experimental,11664.25,14.6682,experimental,925238.633,high,True
44,66,110,Ru,-80072.629,8.924,experimental,8486.3123,0.0811,experimental,2756.0638,19.4044,12553.8611,11.9104,experimental,23901.2737,12.8336,experimental,-6369.5417,12.7668,experimental,7405.4918,12.1066,experimental,13078.7716,12.6451,experimental,933494.353,high,True
45,65,110,Rh,-82828.693,17.805,experimental,8504.2551,0.1619,experimental,5502.2116,17.7967,13940.1732,22.6472,experimental,21483.8044,19.8052,experimental,-5477.3562,21.5959,experimental,5900.7599,18.2454,experimental,9379.2087,19.8873,experimental,935468.061,high,True
46,64,110,Pd,-88330.904,0.612,experimental,8547.163,0.0056,experimental,-873.5982,1.3777,14949.3252,1.2511,experimental,19247.4425,8.7015,experimental,-4432.5678,5.4253,experimental,8795.7387,1.2563,experimental,10620.6245,4.0252,experimental,940187.93,high,True
47,63,110,Ag,-87457.306,1.286,experimental,8532.1089,0.0117,experimental,2890.6633,1.2771,15993.1508,2.7122,experimental,17004.0926,14.0553,experimental,-3519.5657,5.5409,experimental,6809.1936,0.0999,experimental,7139.7935,1.403,experimental,938531.9789999999,high,True
48,62,110,Cd,-90347.969,0.38,experimental,8551.2755,0.0035,experimental,-3878.0,11.547,17238.183,1.1693,experimental,15401.6963,1.1508,experimental,-2865.3425,1.1689,experimental,9914.9571,1.5698,experimental,8917.5099,1.2778,experimental,940640.3049999999,high,True
49,61,110,In,-86469.969,11.553,experimental,8508.9087,0.105,experimental,-627.9769,17.9802,18492.7774,14.4262,experimental,13441.1201,11.7974,experimental,-1952.4859,11.9404,experimental,8051.7618,12.2172,experimental,5254.6101,11.6532,experimental,935979.9569999999,high,True
50,60,110,Sn,-85841.993,13.777,experimental,8496.0875,0.1252,experimental,-8392.248,15.0117,19914.6798,14.7912,experimental,11167.5121,13.8228,experimental,-1134.7556,13.8213,experimental,11283.1301,15.9059,experimental,6641.4378,14.3375,experimental,934569.625,high,True
51,59,110,Sb,-77449.745,5.962,experimental,8412.6821,0.0542,experimental,-5219.924,8.8753,21147.0398,8.1083,experimental,7907.8584,10.4981,experimental,733.4893,13.6024,experimental,9270.0761,7.9536,experimental,2108.5351,9.9362,experimental,925395.031,high,True
52,58,110,Te,-72229.821,6.575,experimental,8358.116,0.0598,experimental,-11761.9766,62.2875,22590.7804,8.5152,experimental,4737.8138,8.4971,experimental,2698.9612,7.7506,experimental,12585.7392,7.9016,experimental,3267.8051,8.4233,experimental,919392.76,high,True
53,57,110,I,-60467.844,61.94,experimental,8244.0767,0.5631,experimental,-8545.2075,118.47,23839.0,119.0,estimated,2600.4452,62.1829,experimental,3580.5414,61.4896,experimental,10866.6567,62.304,experimental,41.4156,62.0944,experimental,906848.4369999999,mixed,True
54,56,110,Xe,-51922.636,100.988,experimental,8159.2808,0.9181,experimental,,,25432.9161,392.7043,experimental,718.9023,101.1331,experimental,3872.2066,9.499,experimental,13824.4081,316.6437,experimental,1539.1022,101.2122,experimental,897520.888,high,True
40,71,111,Zr,-36480.0,600.0,estimated,8118.0,5.0,estimated,12480.0,671.0,6893.0,781.0,estimated,,,not_calculable,-10655.0,922.0,estimated,2331.0,781.0,estimated,,,not_calculable,901098.0,low,False
41,70,111,Nb,-48960.0,300.0,estimated,8223.0,3.0,estimated,10980.0,300.0,8413.0,525.0,estimated,31058.0,761.0,estimated,-9415.0,583.0,estimated,4722.0,890.0,estimated,14029.0,583.0,estimated,912753.0,low,False
42,69,111,Mo,-59939.813,12.578,experimental,8315.2932,0.1133,experimental,9084.862,6.7999,9423.165,16.8277,experimental,28788.0,500.0,estimated,-8345.0,300.0,estimated,3475.3171,27.2906,experimental,14918.8702,838.439,experimental,922997.5452,high,True
43,68,111,Tc,-69024.675,10.582,experimental,8390.0906,0.0953,experimental,7760.65,13.8477,10884.4831,13.8477,experimental,26912.818,430.946,experimental,-7725.7868,13.2705,experimental,6061.43,13.723,experimental,11777.832,26.4299,experimental,931300.0565999999,high,True
44,67,111,Ru,-76785.325,9.682,experimental,8452.9582,0.0872,experimental,5518.5456,11.8621,12189.5063,12.6574,experimental,24703.9829,14.7889,experimental,-6665.2664,13.3718,experimental,4784.0145,12.6453,experimental,13039.7329,13.0423,experimental,938278.3601999999,high,True
45,66,111,Rh,-82303.871,6.853,experimental,8495.6267,0.0617,experimental,3682.0153,6.8899,13447.2561,7.9219,experimental,22598.9846,11.8516,experimental,-5978.8199,11.0534,experimental,7546.4963,19.0773,experimental,9520.2131,11.2519,experimental,943014.5637,high,True
46,65,111,Pd,-85985.886,0.731,experimental,8521.7498,0.0066,experimental,2229.5607,1.5721,14522.0387,1.3184,experimental,19825.3732,8.9835,experimental,-4548.2367,8.7034,experimental,5726.3,0.4,experimental,10446.1646,17.8012,experimental,945914.2278,high,True
47,64,111,Ag,-88215.447,1.459,experimental,8534.7878,0.0131,experimental,1036.8,1.4142,15638.6525,1.9083,experimental,17794.1382,4.2795,experimental,-3776.6517,12.1373,experimental,8829.4589,1.9079,experimental,7173.5137,1.5204,experimental,947361.4458,high,True
48,63,111,Cd,-89252.247,0.357,experimental,8537.0801,0.0032,experimental,-860.1972,3.417,16890.5527,1.5666,experimental,16223.7054,1.1523,experimental,-3304.5091,1.2534,experimental,6975.5956,0.1655,experimental,9083.9119,1.2806,experimental,947615.8910999999,high,True
49,62,111,In,-88392.05,3.424,experimental,8522.2824,0.0308,experimental,-2453.4692,6.3368,18045.1602,2.7002,experimental,14250.5613,3.6368,experimental,-2410.2661,4.1708,experimental,9993.3984,12.041,experimental,5333.0514,3.4134,experimental,945973.3464,high,True
50,61,111,Sn,-85938.581,5.336,experimental,8493.131,0.0481,experimental,-5101.834,10.3337,19451.0363,9.5671,experimental,12012.1923,5.5519,experimental,-1373.171,5.5887,experimental,8167.9061,14.7745,experimental,6757.5822,12.722,experimental,942737.541,high,True
51,60,111,Sb,-80836.747,8.849,experimental,8440.1203,0.0797,experimental,-7249.2597,10.937,20728.3963,10.297,experimental,8925.163,9.6986,experimental,305.0044,13.0959,experimental,11458.3202,10.67,experimental,2283.7251,16.3743,experimental,936853.3533000001,high,True
52,59,111,Te,-73587.487,6.427,experimental,8367.7635,0.0579,experimental,-8633.6922,7.9943,22014.7236,7.7791,experimental,5535.2486,10.2224,experimental,2499.836,8.3367,experimental,9428.9845,9.1946,experimental,3426.7135,8.7664,experimental,928821.7484999999,high,True
53,58,111,I,-64953.795,4.754,experimental,8282.9343,0.0428,experimental,-10434.0,116.0,23423.9256,8.2388,experimental,3280.7504,7.0936,experimental,3274.5378,5.1866,experimental,12557.2689,62.1217,experimental,12.9453,8.1136,experimental,919405.7073000001,high,True
54,57,111,Xe,-54520.0,115.0,estimated,8182.0,1.0,estimated,-11620.0,231.0,24493.0,322.0,estimated,1383.0,116.0,estimated,3712.1503,56.8926,experimental,10669.0,153.0,estimated,1341.0,131.0,estimated,908202.0,low,False
55,56,111,Cs,-42900.0,200.0,estimated,8070.0,2.0,estimated,,,,,not_calculable,-195.0,200.0,estimated,4105.0,361.0,estimated,,,not_calculable,-1734.0,224.0,estimated,895770.0,low,False
40,72,112,Zr,-32420.0,700.0,estimated,8081.0,6.0,estimated,11650.0,761.0,6342.0,860.0,estimated,,,not_calculable,,,not_calculable,4011.0,922.0,estimated,,,not_calculable,905072.0,low,False
41,71,112,Nb,-44070.0,300.0,estimated,8178.0,3.0,estimated,13410.0,361.0,7903.0,890.0,estimated,,,not_calculable,-9715.0,671.0,estimated,3181.0,424.0,estimated,14879.0,671.0,estimated,915936.0,low,False
42,70,112,Mo,-57480.0,200.0,estimated,8291.0,2.0,estimated,7779.0,200.0,9087.0,202.0,estimated,29838.0,539.0,estimated,-8955.0,447.0,estimated,5611.0,201.0,estimated,15808.0,361.0,estimated,928592.0,low,False
43,69,112,Tc,-65258.932,5.515,experimental,8353.6217,0.0492,experimental,10371.9409,11.0602,10367.0046,10.9714,experimental,27526.9599,838.3628,experimental,-8138.6503,9.9142,experimental,4305.5747,11.9225,experimental,12608.0896,13.7253,experimental,935605.6303999999,high,True
44,68,112,Ru,-75630.873,9.6,experimental,8439.2431,0.0857,experimental,4100.179,45.1185,11700.8801,12.5771,experimental,25673.0006,26.0523,experimental,-7306.4913,13.3121,experimental,6916.8656,13.1076,experimental,13895.1685,13.7852,experimental,945195.2272,high,True
45,67,112,Rh,-79731.052,44.085,experimental,8468.8666,0.3936,experimental,6589.9874,43.9269,13044.9952,47.5444,experimental,23274.4305,45.0968,experimental,-6233.1373,44.9491,experimental,5498.499,44.6022,experimental,10234.6975,45.1362,experimental,948513.0591999999,high,True
