Z,N,A,EL,mass_excess_keV_value,mass_excess_unc_keV_value,mass_excess_keV_flag,BE_per_A_keV_value,BE_per_A_unc_keV_value,BE_per_A_keV_flag,beta_decay_energy_keV_value,beta_decay_energy_unc_keV_value,S_2n_value,S_2n_unc_value,S_2n_flag,S_2p_value,S_2p_unc_value,S_2p_flag,Q_alpha_value,Q_alpha_unc_value,Q_alpha_flag,S_n_value,S_n_unc_value,S_n_flag,S_p_value,S_p_unc_value,S_p_flag,Total_BE_keV,data_quality,fully_experimental
47,83,130,Ag,-45898.0,424.0,estimated,8142.0,3.0,estimated,15220.0,425.0,7330.0,300.0,estimated,33135.0,520.0,estimated,-11123.0,656.0,estimated,2099.0,583.0,estimated,15307.0,735.0,estimated,1058460.0,low,False
48,82,130,Cd,-61117.597,22.356,experimental,8252.5868,0.172,experimental,8788.9322,22.4274,10021.9886,23.2627,experimental,31305.0,501.0,estimated,-11752.0,400.0,estimated,6066.7739,22.9777,experimental,16536.0,400.0,estimated,1072836.284,high,True
49,81,130,In,-69906.53,1.79,experimental,8314.176,0.0138,experimental,10225.687,2.5905,11859.0492,2.2251,experimental,29774.0,300.0,estimated,-11611.0,200.0,estimated,5142.959,2.6625,experimental,14073.3591,5.603,experimental,1080842.88,high,True
50,80,130,Sn,-80132.217,1.873,experimental,8386.817,0.0144,experimental,2153.4702,14.1129,12913.423,17.7808,experimental,27471.9138,6.6991,experimental,-10301.4055,2.969,experimental,7612.9379,17.3712,experimental,14586.299,2.7192,experimental,1090286.21,high,True
51,79,130,Sb,-82285.687,14.212,experimental,8397.3641,0.1093,experimental,5067.2728,14.2124,13798.4713,23.5577,experimental,22673.5123,14.2738,experimental,-6901.2257,14.8177,experimental,5727.6207,25.544,experimental,8984.0611,22.3662,experimental,1091657.333,high,True
52,78,130,Te,-87352.96,0.011,experimental,8430.3251,0.0003,experimental,-416.7716,3.1537,14501.8022,0.7064,experimental,18569.472,17.6819,experimental,-3762.74,10.6876,experimental,8419.3935,0.7109,experimental,10012.5465,21.2251,experimental,1095942.263,high,True
53,77,130,I,-86936.188,3.154,experimental,8421.1011,0.0243,experimental,2944.2864,3.1537,15340.794,4.7978,experimental,16884.2785,19.0416,experimental,-2967.9684,32.0018,experimental,6500.33,0.04,experimental,7220.2749,3.136,experimental,1094743.143,high,True
54,76,130,Xe,-89880.474,0.009,experimental,8437.7314,0.0003,experimental,-2980.7199,8.3567,16162.5762,0.0081,experimental,15464.623,0.7064,experimental,-2241.2226,1.3536,experimental,9255.7227,0.008,experimental,8662.2693,3.1534,experimental,1096905.0820000002,high,True
55,75,130,Cs,-86899.754,8.357,experimental,8408.7848,0.0643,experimental,357.0219,8.3617,17110.618,9.9367,experimental,13739.6665,9.1075,experimental,-1414.1739,9.171,experimental,7472.0226,9.5166,experimental,5492.6558,8.3567,experimental,1093142.024,high,True
56,74,130,Ba,-87256.776,0.287,experimental,8405.513,0.0022,experimental,-5629.4021,25.9477,18030.257,1.5339,experimental,11974.1842,0.2872,experimental,-535.3054,0.2872,experimental,10267.2287,10.5037,experimental,7046.6974,4.5615,experimental,1092716.6900000002,high,True
