Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
47,57,104,Ag,-85116.47,8536.185,19012.4045,12911.0961,8385.0857,4948.4608,-1950.2558,-1148.0787,,,,,,,47,57,104,3,35,7,25,1,1,10,0
48,56,104,Cd,-83968.391,8517.6232,20451.3259,10643.3704,11388.083,6454.66,-1180.6348,-7785.7166,,,,,1492.14,2.2676830769511342,48,56,104,2,34,6,26,0,0,8,1
49,55,104,In,-76182.675,8435.238,21630.4151,8513.9152,9621.5957,2820.0194,-469.6211,-4555.6174,,,,,,,49,55,104,1,33,5,27,1,1,6,0
50,54,104,Sn,-71627.057,8383.9114,22834.7977,6545.2978,12606.0,4283.6312,142.6223,-12332.0,1260.1,0.209,0.1187,0.76,1942.75,1.5417060144588255,50,54,104,0,32,4,28,0,0,4,1
51,53,104,Sb,-59295.0,8258.0,24337.0,3178.0,10696.0,-508.687,2458.0,-9668.0,,,,,,,51,53,104,1,31,3,29,1,1,4,0
52,52,104,Te,-49626.831,8157.3256,,-730.1229,,246.0,5096.3997,,,,,,,,52,52,104,2,30,2,30,0,0,4,1
40,65,105,Zr,-61458.274,8358.598,9791.9164,28756.0,3811.9319,14667.0,-8558.2752,8457.2728,,,,,,,40,65,105,10,42,15,17,0,1,25,0
41,64,105,Nb,-69915.547,8431.6925,11029.5152,26036.4551,6175.8681,11486.8577,-7285.6759,7415.2411,,,,,,,41,64,105,9,41,14,18,1,0,23,0
42,63,105,Mo,-77330.788,8494.863,12519.0923,24099.7363,5058.358,12808.7621,-6594.7166,4955.5157,,,,,,,42,63,105,8,40,13,19,0,1,21,0
43,62,105,Tc,-82286.303,8534.6074,13825.0192,21835.578,7858.6525,9231.5267,-5819.7313,3648.2396,,,,,,,43,62,105,7,39,12,20,1,0,19,0
44,61,105,Ru,-85934.543,8561.9016,14810.0114,19558.1536,5910.0975,10724.545,-4839.5072,1916.7271,,,,,,,44,61,105,6,38,11,21,0,1,17,0
45,60,105,Rh,-87851.27,8572.7053,15962.2007,17825.2919,8963.2442,7044.4777,-3931.5933,566.6347,,,,,,,45,60,105,5,37,10,22,1,0,15,0
